"mois_num","mois_label","saisonnalite_med"
1,"Jan",-26441.7095858085
2,"Fév",-811437.881533678
3,"Mar",1700614.09547386
4,"Avr",-683327.107347838
5,"Mai",1207494.31127196
6,"Jun",744994.948701396
7,"Jul",-2616273.81711453
8,"Aoû",-2319519.40601922
9,"Sep",225625.363407786
10,"Oct",1085941.54382888
11,"Nov",1706515.89825699
12,"Déc",-214186.31353598
