"comparaison","n_paires","var_montees","var_km","var_par_km","p_montees","p_par_km"
"2023 vers 2024",12,-0.37,3.24,-2.41,0.0771,0.3804
"2024 vers 2025",12,4.61,5.33,-0.57,0.0015,5e-04
