"ligne","montees","jours_de_service","arrets","montees_par_jour"
"C8",111995.29,182,19,615
"C3",69317.43,184,63,377
"C7",65421.07,184,63,356
"C6",48986.9,185,27,265
"C1",41540.67,184,40,226
"C4",28230.01,183,21,154
"C9",24399.53,187,24,130
"C5",19402.79,190,37,102
