"arret_code","arret_nom","n_collisions","montees","collisions_par_Mmontees"
"CTMI01","Contamines",8,1172167.43,6.8
"CVIN01","Gare Cornavin",36,9322632,3.9
"CVIN02","Gare Cornavin",15,6286776.27,2.4
"CVIN03","Gare Cornavin",22,17689467.36,1.2
"CVIN04","Gare Cornavin",11,36235118.54,0.3
"CVIN05","Gare Cornavin",9,2209237.66,4.1
"CVIN06","Gare Cornavin",13,5931758.15,2.2
"CVIN09","Gare Cornavin",33,6017441.44,5.5
"CVIN10","Gare Cornavin",6,28130782.03,0.2
"CVIN14","Gare Cornavin",83,27603313.37,3
"CVIN15","Gare Cornavin",19,35302667.83,0.5
"CVIN18","Gare Cornavin",48,21199997.91,2.3
"CVUE01","Claire-Vue",6,1621858.28,3.7
"CXAB06","Croix d'Ambilly",10,1775742.62,5.6
"CZDN00","Croix-de-Rozon-Douane",2,1398883.19,1.4
"DELC00","Délices",10,2661823,3.8
"DELC01","Délices",3,3590739.09,0.8
"DELC02","Délices",15,1686001.18,8.9
"DELC03","Délices",8,1131074.87,7.1
"DOLE00","Dôle",19,2566415.23,7.4
"DOLE01","Dôle",19,3183295.62,6
"EMED00","Ecole-de-Médecine",5,1323009.64,3.8
"EPIN02","Epinettes",9,1148977.1,7.8
"EPIN03","Epinettes",18,1928561.83,9.3
"ESRT00","Les Esserts",10,6391748.01,1.6
"ESRT01","Les Esserts",7,10584752.93,0.7
"ESRT03","Les Esserts",5,5699567.29,0.9
"ESRT04","Les Esserts",14,3123231.39,4.5
"ESRT05","Les Esserts",1,1230753.52,0.8
"ETOI00","Lancy-Pont-Rouge-Gare/Etoile",37,4880091.1,7.6
"ETOI01","Lancy-Pont-Rouge-Gare/Etoile",28,3808842.93,7.4
"ETOI02","Lancy-Pont-Rouge-Gare/Etoile",6,2621601.23,2.3
"ETOI03","Lancy-Pont-Rouge-Gare/Etoile",16,7878790.7,2
"FAVR00","Place Favre",46,1890296.64,24.3
"FAVR01","Place Favre",30,6330846.12,4.7
"FAVR02","Place Favre",3,1355353.5,2.2
"FEMA00","Ferney-Mairie",11,1999307.94,5.5
"FLCE00","Florence",5,1891836.74,2.6
"FONT00","Fontenette",8,1024408.79,7.8
"FONT01","Fontenette",5,2173168.81,2.3
"FORU00","Forumeyrin",2,2105202,1
"FORU01","Forumeyrin",3,7770779.72,0.4
"FRAN00","Franchises",4,2797584.67,1.4
"FRAN01","Franchises",7,1653886.43,4.2
"FRRE00","Bois-des-Frères",16,1040125.71,15.4
"FRRE01","Bois-des-Frères",33,2581660.5,12.8
"GAEV00","Genève-Eaux-Vives-Gare",22,1912742.03,11.5
"GAEV03","Genève-Eaux-Vives-Gare",8,3170771.56,2.5
"GAEV04","Genève-Eaux-Vives-Gare",20,5108279.74,3.9
"GALI01","Gaillard-Libération",3,1041990.25,2.9
"GAUT01","Gautier",11,4130205.35,2.7
"GCAN00","Grange-Canal",30,2220491.21,13.5
"GCAN01","Grange-Canal",9,6005063.16,1.5
"GCHG01","Genève-Champel-Gare",6,2233190.11,2.7
"GCHP01","Genève-Champel-Gare/Peschier",11,1116010.2,9.9
"GCHP02","Genève-Champel-Gare/Peschier",19,1015359.44,18.7
"GDLA00","Grand-Lancy-Place du 1er-Août",10,1934189.81,5.2
"GDLA01","Grand-Lancy-Place du 1er-Août",7,6340642.11,1.1
"GETE01","De-Ternier",7,4481586.69,1.6
"GEVB00","Genève-Eaux-Vives-Gare/Bloch",11,1441151.21,7.6
"GEVV01","Genève-Eaux-Vives-Gare/Vadier",1,1218412.7,0.8
"GFAQ00","Grange-Falquet",49,1194878,41
"GFAQ01","Grange-Falquet",30,3148831.51,9.5
"GIAC00","Giacometti",11,1773374.34,6.2
"GIOL00","Gardiol",17,3776099.36,4.5
"GOS01","Gos",9,1452368.74,6.2
"GOUL00","Goulart",40,4531805.5,8.8
"GPRE00","Grand-Pré",25,2732241.26,9.1
"GPRE01","Grand-Pré",4,1365507.96,2.9
"GRAN01","Grangettes",26,1743265.35,14.9
"GRVI01","Meyrin-Gravière",3,4200638.06,0.7
"GRVI02","Meyrin-Gravière",2,3895067.59,0.5
"GSON00","Graveson",9,3624111.72,2.5
"GSON01","Graveson",32,10763736.95,3
"GUYE00","Guye",19,7049213.7,2.7
"GUYE01","Guye",14,8898560.56,1.6
"HERM00","Hermance-Village",10,1588682.77,6.3
"HOPI00","Hôpital",19,2750737.21,6.9
"HOPI01","Hôpital",6,2952293.49,2
"HOPI03","Hôpital",6,5010453.57,1.2
"HTOU01","Hôpital de La Tour",1,4356080.33,0.2
"INDT00","Industrielle",19,2346739.95,8.1
"INDT01","Industrielle",8,6232937.26,1.3
"INTR01","Intercontinental",14,1088767.98,12.9
"ISAM00","Mercier",8,2012979.72,4
"ISAM02","Mercier",12,6616931.11,1.8
"JALP00","Jardin-Alpin-Vivarium",2,3987521.66,0.5
"JALP01","Jardin-Alpin-Vivarium",4,4076554.19,1
"JARB00","Jardin Botanique",11,1527920.46,7.2
"JARB02","Jardin Botanique",14,2403064.01,5.8
"JARB04","Jardin Botanique",19,1670439.04,11.4
"JJAC01","Jean-Jacques",4,3301256.29,1.2
"JOCT00","Jonction",8,14015304.72,0.6
"JOCT01","Jonction",5,16853590.65,0.3
"JOCT07","Jonction",13,3177198.22,4.1
"JOCT08","Jonction",8,3734851.05,2.1
"JPSA01","De-Sauvage",18,1314380.68,13.7
"JVIL00","De-Joinville",12,3422666.58,3.5
"KRIG01","Krieg",13,2672979.88,4.9
"LAMA00","Lancy-Mairie",16,1129308.25,14.2
"LAMA01","Lancy-Mairie",5,2474509.42,2
"LAUB00","Aubert",10,1410820.7,7.1
"LAUB01","Aubert",8,3726441.16,2.1
"LAUB03","Aubert",7,1923831.28,3.6
"LERO10","Le Rolliet",2,1329891.44,1.5
"LYON00","Lyon",31,7046627.39,4.4
"LYON01","Lyon",12,9105944.68,1.3
"MAON00","Maison Onésienne",5,1028775.19,4.9
"MAPA00","Maison de la Paix",10,1335529.15,7.5
"MAPA01","Maison de la Paix",10,4716889.19,2.1
"MARB01","Les Marbriers",2,1393250.21,1.4
"MERV00","Mervelet",3,1170536.88,2.6
"METR00","Métropole",73,13548841.77,5.4
"METR01","Métropole",51,4308566.36,11.8
"MGNE00","Montagne",12,2635726.44,4.6
"MILE01","Miléant",13,3516986.71,3.7
"MIRE01","Miremont",3,1281555.43,2.3
"MLBA00","Moillebeau",6,3014904.11,2
"MLBA01","Moillebeau",1,1095711.21,0.9
"MLRD00","Molard",34,2821323.53,12.1
"MLRD03","Molard",13,11078651.18,1.2
"MLRD04","Molard",17,7502220.59,2.3
"MOIL01","Moillesulaz",3,7345603.19,0.4
"MOIL02","Moillesulaz",3,7085682.64,0.4
"MOIL07","Moillesulaz",2,1667164.67,1.2
"MOIL08","Moillesulaz",7,1406627.12,5
"MOLE00","Môle",23,4056331.22,5.7
"MOLE01","Môle",25,10222387.67,2.4
"MONT02","Annemasse-Parc Montessuit",2,2018612.3,1
"MOTU01","Monthoux",4,3065006.03,1.3
"MPAR00","Maison des Parlements",13,2196352.59,5.9
"MTBL00","Mont-Blanc",45,5980457.88,7.5
"MTBL01","Mont-Blanc",87,3911106.36,22.2
"MTTA00","Motta",17,3984100.55,4.3
"MUET01","Musée d'ethnographie",3,2171074.16,1.4
"MUET02","Musée d'ethnographie",5,2955078.17,1.7
"MUSE00","Muséum",27,1715583.09,15.7
"MUSE02","Muséum",11,1019751.93,10.8
"MYRN01","Meyrin-Village",2,4136584.85,0.5
"NATI10","Nations",28,4668435.76,6
"NATI20","Nations",32,2767736.14,11.6
"NAVI01","Navigation",9,5951475.07,1.5
"ONCI00","Onex-Cité",15,1957806.96,7.7
"ONEX00","Onex-Salle communale",10,2409984.27,4.1
"ONEX01","Onex-Salle communale",9,7559766.97,1.2
"ONMA00","Onex-Marché",10,1441166.82,6.9
"ONMA01","Onex-Marché",4,5819636.72,0.7
"OUCH00","Les Ouches",17,1543265.96,11
"OUCH01","Les Ouches",14,2579298.43,5.4
"PAIL00","Balexert-Pailly",2,3907017.27,0.5
"PAIL01","Balexert-Pailly",1,2283901.91,0.4
"PALE02","Palettes",1,4920958.32,0.2
"PARC00","Parc et plage des Eaux-Vives",13,1011675.37,12.8
"PBAL00","Petit-Bel-Air",11,2812590.41,3.9
"PEIL00","Peillonnex",7,1722092.08,4.1
"PEIL01","Peillonnex",16,4943024.99,3.2
"PICY01","Lancy-Piscine",4,2502067.61,1.6
"PITH00","Pictet-Thellusson",14,1460431.76,9.6
"PITH01","Pictet-Thellusson",9,4829433.78,1.9
"PLDI00","Palladium",9,3121694.48,2.9
"PLDI01","Palladium",9,5075368.07,1.8
"PLEV00","Place des Eaux-Vives",54,15056557.99,3.6
"PLEV01","Place des Eaux-Vives",59,2861137.29,20.6
"PLGE00","Genève-Plage",53,4933977.43,10.7
"PLPA00","Plainpalais",24,13811426.72,1.7
"PLPA02","Plainpalais",13,8516789.34,1.5
"PLPA03","Plainpalais",9,10702218.99,0.8
"PLPA04","Plainpalais",10,1032699.07,9.7
"PLPA07","Plainpalais",7,7481219.95,0.9
"PLPA08","Plainpalais",2,1375915.5,1.5
