"ligne","ligne_type_act","montees","n_arrets","pct_du_total"
"14","PRINCIPAL",103010178.16,56,13.4
"12","PRINCIPAL",72246911.17,57,9.4
"15","PRINCIPAL",68700197.37,50,9
"18","PRINCIPAL",56313051.57,46,7.3
"17","PRINCIPAL",37121573.55,61,4.8
"3","PRINCIPAL",28765908.2,36,3.8
"11","PRINCIPAL",28082852.97,33,3.7
"19","PRINCIPAL",24293583.98,33,3.2
"9","PRINCIPAL",23618333.27,76,3.1
"10","PRINCIPAL",22502480.76,25,2.9
