"arret_code","arret_nom","n_collisions"
"BALE00","Battelle",2
"BALX00","Balexert",2
"BDOU00","Bourdigny-Douane",2
"BGRI00","Les Bougeries",2
"BISE00","La Bise",2
"BLDO03","Blandonnet",2
"BLDO05","Blandonnet",2
"BOCA00","Bois-Caran",2
"BOHT01","Bouchet",2
"BOIS00","Boissier",2
"BOSY00","Bossy",2
"BOSY01","Bossy",2
"BOUV00","Les Bouveries",2
"BUGN01","Bugnons",2
"BUTN00","Pont-Butin",2
"BUTN02","Pont-Butin",2
"BXSA02","Bernex-Saule",2
"CADO00","Cara-Douane",2
"CAMP00","Campanules",2
"CARO01","Caron",2
"CAST00","Castan",2
"CBGE00","Chêne-Bourg-Gare-Tour",2
"CETX01","Certoux, village",2
"CFOU01","Chemin des Fours",2
"CHLE00","Chens-sur-Léman",2
"CHLX01","Choulex",2
"CHTO00","Genève, Tour de Champel",2
"CHVO03","Ferney-Château",2
"CLYS01","Bellevue, Ermitage",2
"COLO04","Colovrex",2
"COMA01","Collonges-Marché",2
"CORB01","Corbillettes",2
"COTR01","Au Contour",2
"CRCO01","Confignon-Croisée",2
"CRCO03","Confignon-Croisée",2
"CREN00","CO Renard",2
"CRTE01","Crête",2
"CRTE02","Crête",2
"CTGY00","Cartigny-Village",2
"CTMI02","Contamines",2
"CYNT01","Cessy-Centre",2
"CYTE00","Cologny-Temple",2
"CZDN00","Croix-de-Rozon-Douane",2
"DLAY01","Delay",2
"DODE00","La Dode",2
"EAUM01","Eaumorte-Hameau",2
"EMED02","Ecole-de-Médecine",2
"ESRT05","Les Esserts",2
"ESRT99","Les Esserts",2
"ETAN01","Etang-Place",2
"ETOI99","Lancy-Pont-Rouge-Gare/Etoile",2
"EVOR00","Evordes",2
"FAVR04","Place Favre",2
"FEMA01","Ferney-Mairie",2
"FEUL01","Feuillat",2
"FLRI01","Florissant",2
"FORU00","Forumeyrin",2
"FOSA00","Fossard",2
"FOUR01","Fourches",2
"FRDI00","Fraidieu",2
"FTAI00","Foretaille",2
"GAVA00","Gavard",2
"GCLB01","Grange-Collomb",2
"GCLB02","Grange-Collomb",2
"GCMP01","Grand-Champ",2
"GDHA00","Grand-Hangar",2
"GRVI02","Meyrin-Gravière",2
"GRVI06","Meyrin-Gravière",2
"GSMA02","Grand-Saconnex-Mairie",2
"GVRI00","Genévrière",2
"GXGC00","Gex-Charpak",2
"HOPI04","Hôpital",2
"JALP05","Jardin-Alpin-Vivarium",2
"JMON00","Saint-Genis-Jean Monnet",2
"LAPR04","Lancy-Pont-Rouge-Gare",2
"LAVI00","Laconnex-Village",2
"LERO05","Le Rolliet",2
"LERO10","Le Rolliet",2
"LOCH01","En Louche",2
"LOCH02","En Louche",2
"LOCH03","En Louche",2
"LOUR01","La Loure",2
"LULI00","Lullier",2
"LULY00","Lully-Croisée",2
"LULY04","Lully-Croisée",2
"MALA01","Malagnou",2
"MANU00","Manufactures",2
"MASS00","Massettes",2
"MATE01","Maternité-Pédiatrie",2
"MEPR01","Meinier-Pralys",2
"MERV01","Mervelet",2
"MIDE02","Mon-Idée",2
"MLGN00","Malagny",2
"MLGN01","Malagny",2
"MLPT00","Malpertuis",2
"MLPT01","Malpertuis",2
"MNEU03","Maisons-Neuves",2
"MOIL07","Moillesulaz",2
"MOLL00","Mollaz",2
"MOUI00","La Mouille",2
"MOUI01","La Mouille",2
"MTFL00","Montfleury",2
"MYRN01","Meyrin-Village",2
"NATI18","Nations",2
"NATI19","Nations",2
"OMSB00","Genève, OMS-BIT",2
"ONBC01","Onex-Bois Carrien",2
"ONCI01","Onex-Cité",2
"ORRO01","Ornex-Les Roussets",2
"PAIL00","Balexert-Pailly",2
"PBAL02","Petit-Bel-Air",2
"PEDO00","Perly-Douane",2
"PEDO01","Perly-Douane",2
"PEIL03","Peillonnex",2
"PELO00","La Pelotière",2
"PIBO01","Pierre à Bochet",2
"PLPA08","Plainpalais",2
"PLPA99","Plainpalais",2
"PLTA01","Planta",2
"POCH00","Port Choiseul",2
"POLT00","Thoiry-Place en Poulet",2
"PONT00","Pontets",2
"PONT01","Pontets",2
"PPAL00","Prés-Palais",2
"PRGR01","Progrès",2
"PRVI00","Viry P+R",2
"PXPO11","Palexpo",2
"QUID01","Quidort",2
"RCOR02","Route de Corsinge",2
"REPE01","Repentance",2
"RIAN00","Riant-Parc",2
"ROUE01","Rouette",2
"RTTE00","Rochette",2
"SHUM00","Saint-Genis-Schuman",2
"SIGL01","SIG Lignon",2
"SIGN01","Signal",2
"SION00","Sionnet",2
"SLSI00","La Salésienne",2
"SLSI03","La Salésienne",2
"SONN01","Sonnex",2
"SONN02","Sonnex",2
"SRMA01","Soral, Faubourg",2
"SRVE01","Serves",2
"STRC01","Stade Trois-Chêne",2
"SUMO00","Sur-le-Moulin",2
"SVEY00","Vessy-Stand de tir",2
"SVEY02","Vessy-Stand de tir",2
"SYMA00","Satigny-Mairie",2
"TGIN03","Tougin-Hôpital",2
"THMA00","Thoiry-Mairie",2
"TILL01","Dardagny-Les Tilleuls",2
"TLIG01","Lignon-Tours",2
"TRBL00","Trèfle-Blanc",2
"TRMB01","Trembley",2
"VACA00","Vernier, Avanchets-Casaï",2
"VALY05","Bernex-Vailly",2
"VAND01","Vandoeuvres-Village",2
"VAUD01","Vaudagne",2
"VRLP01","Vireloup",2
"VRVI00","Veyrier-Village",2
"VXAR01","Versoix-Argand",2
"VXGA00","Versoix-Gare",2
"VXLA00","Versoix-Lachenal",2
"_CERNF","CERN-Dne - F",2
"_CYDNS","Chancy-Dne_CH",2
"_DOANS","Anières-Dne - CH",2
"_GSDNF","Grand-Saconnex-Dne - F",2
"_PEDOS","Perly-Dne - CH",2
"ADOU00","Prévessin-Ancienne-Douane",1
"AERO05","Genève-Aéroport-Terminal",1
"AGLA01","Prévessin-Les Aglands",1
"AIRE02","Aïre",1
"AIVC01","Aire-la-Ville-Croisée",1
"AIVI00","Aire-la-Ville-Centre",1
"AJEN01","Jeandin",1
"ALGE01","Avully-Gennecy",1
"ALVI01","Avully-Village",1
"ANCI98","Ancienne",1
"ANGR00","Anières-Gravière",1
"ANRS00","Anières-Village",1
"ANRS01","Anières-Village",1
"APCB02","Archamps-Pont de Combe",1
"APIA02","Appia",1
"ARAR00","Arare",1
"ATEC00","Athenaz-Ecole",1
"ATPA03","Athenaz-Passeiry",1
"ATTV00","Attenville",1
"ATVI01","Athenaz-Village",1
"AUBE00","Aubépine",1
"AUGS02","Augustins",1
"AVAN01","Vernier, Avanchets-Etang",1
"AVQO00","Avusy-Les Quoattes",1
"BADO01","Badosse",1
"BASL01","Basselat",1
"BELI01","Bellevue-Limites",1
"BELS00","Bellins",1
"BFOU00","Bourg-de-Four",1
"BGRI01","Les Bougeries",1
"BHET01","Lancy-Bachet-Gare",1
"BHET07","Lancy-Bachet-Gare",1
"BISA01","Belle-Idée-Réception",1
"BISE01","La Bise",1
"BLOC01","Château-Bloch",1
"BOCA02","Bois-Caran",1
"BOCH00","Bois-Chatton",1
"BOGA01","Bois-Galland",1
"BOIS01","Boissier",1
"BPAQ01","Genève, Bains des Pâquis",1
"BSEJ00","Beau-Séjour",1
"BSSY00","Bassy",1
"BTEC00","Belle-Terre-Ecole",1
"BTEC01","Belle-Terre-Ecole",1
"BTPA02","Belle-Terre-Place-de-l'Araire",1
"BTTT00","Belle-Terre-Traité-de-Turin",1
"BXEG01","Bernex-Eglise",1
"CAAM00","Carre-d'Amont",1
"CAAM01","Carre-d'Amont",1
"CABO01","Bains de Cressy",1
"CALA00","Calas",1
"CAMA97","Carouge-Marché",1
"CAND01","Ferney-Bois Candide",1
"CARO00","Caron",1
"CBET00","Combettes",1
"CBFO00","Chambésy-Fontaine",1
"CBGA00","Chambésy-Gare",1
"CBGE01","Chêne-Bourg-Gare-Tour",1
"CBGO03","Chêne-Bourg-Gare-Place",1
"CBOI00","Chemin des Bois",1
"CBOI01","Chemin des Bois",1
"CCOL02","Cologny-Croisée",1
"CCVT01","Croix-de-Chavant",1
"CDOL00","Champ-Dollon",1
"CEBE00","Bois-Chébé",1
"CFIL03","Plan-les-Ouates, Champ-Filles",1
"CFUS00","Saint-Genis-Champ-Fusy",1
"CFUS01","Saint-Genis-Champ-Fusy",1
"CHCQ00","Genève, Chausse-Coq",1
"CHHA00","Challex-La Halle",1
"CHMA00","La Chaumaz",1
"CIPO01","Corsier-Port",1
"CLGE01","Collonge",1
"CLLY00","Choully",1
"CNAE01","Chênaie",1
"COCH01","Chêne-Bougeries, Conches place",1
"COLX01","Ferney-Levant",1
"COMA00","Collonges-Marché",1
"CONF00","Confignon-Mairie",1
"CORB00","Corbillettes",1
"CRBS01","Courbes",1
"CRCH00","Croix-en-Champagne",1
"CRMV00","Cartigny-Moulin-de-Vert",1
"CRMV01","Cartigny-Moulin-de-Vert",1
"CRNR01","Cornière",1
"CROA00","Crozet, Avouzon",1
"CTRS00","Châtaignières",1
"CVRN00","Chevrens",1
"CVRN01","Chevrens",1
"CXCE00","Collex-Centre",1
"CXCE01","Collex-Centre",1
"CXEC00","Collex-Ecole",1
"CYCM00","Cessy-Côte du Moralay",1
"CYMA00","Cologny-Mairie",1
"CYRA00","Chancy-Raclerets",1
"CYUS01","Chancy-Usine",1
"DEHA00","De Haller",1
"DEHA01","De Haller",1
"DLAY00","Delay",1
"ECOG00","Ecogia",1
"ECOG01","Ecogia",1
"ECU00","Ecu",1
"ESRT06","Les Esserts",1
"FALQ00","Falquets",1
"FALQ01","Falquets",1
"FAUC00","Saint-Genis-CERN Alice",1
"FEMA05","Ferney-Mairie",1
"FILI00","Fillion",1
"FLLH01","Flies, Le Haut",1
"FOAN00","Anières-Foyer",1
"FOLN01","Foulon",1
"FOSA01","Fossard",1
"FOSA02","Fossard",1
"FRDI01","Fraidieu",1
"FTAI01","Foretaille",1
"GAIU00","La Gabiule",1
"GCHH00","Genève-Champel-Gare/Hôpital",1
"GCLB00","Grange-Collomb",1
"GCMP00","Grand-Champ",1
"GEBE01","Genthod-Bellevue-Gare",1
"GEVV01","Genève-Eaux-Vives-Gare/Vadier",1
"GOS00","Gos",1
"GRCA00","Grand-Cara",1
"GSAC05","Grand-Saconnex-Place",1
"GSMO00","Grand-Saconnex, Morillons",1
"GSMO01","Grand-Saconnex, Morillons",1
"GTCH00","Genthod-Chênes",1
"GTVI01","Genthod-Village",1
"GVRI02","Genévrière",1
"GXAI00","Gex-L'Aiglette",1
"GXAI01","Gex-L'Aiglette",1
"GXPO00","Gex-Centre",1
"GYTE00","Gy-Temple",1
"HACH00","Bernex, Chèvres",1
"HAMA00","Prévessin-Hauts de Magny",1
"HGEN00","Genthod, Les Hauts",1
"HOPI02","Hôpital",1
"HTAI01","Saint-Genis-Hautains",1
"HTCH00","Hôpital Trois-Chêne",1
"HTCH02","Hôpital Trois-Chêne",1
"HTCH03","Hôpital Trois-Chêne",1
"HTOU01","Hôpital de La Tour",1
"HVIL00","Hôtel-de-Ville",1
"ICC01","ICC",1
"JBRT01","Berthet",1
"JUCH00","Jussy-Château",1
"LABL00","La Blanche",1
"LABL01","La Blanche",1
"LACH01","La Chêna",1
"LADA00","La Dame",1
"LADA01","La Dame",1
"LADM00","Landecy-La Mûre",1
"LAPR02","Lancy-Pont-Rouge-Gare",1
"LAPR05","Lancy-Pont-Rouge-Gare",1
"LAVC00","L'Avenir-Croisée",1
"LAVC01","L'Avenir-Croisée",1
"LBUR00","Burgy",1
"LBUR01","Burgy",1
"LCRE01","Les Crêts",1
"LERO02","Le Rolliet",1
"LEVE00","Plage du Vengeron",1
"LHCY00","Cessy-Les Hauts",1
"LIBE00","Libellules",1
"LOCH00","En Louche",1
"LOEX00","Loëx-Hôpital",1
"LUCH03","Bernex-Luchepelet",1
"LUCH91","Bernex-Luchepelet",1
"LUCH92","Bernex-Luchepelet",1
"LUGE01","Lully-Village",1
"MACH00","Machéry",1
"MACH01","Machéry",1
"MACH02","Machéry",1
"MACN00","Malval-Centre Nature",1
"MAIL99","Maillard",1
"MALG01","Meyrin, Marais-Long",1
"MANC00","Mancy",1
"MANC01","Mancy",1
"MASS01","Massettes",1
"MATE02","Maternité-Pédiatrie",1
"MATG00","Mategnin",1
"MATG01","Mategnin",1
"MATH00","Thônex-Mairie",1
"MATH01","Thônex-Mairie",1
"MDRZ00","Moulins-de-Drize",1
"MDRZ04","Moulins-de-Drize",1
"MEGL00","Meinier-Eglise",1
"MEGL01","Meinier-Eglise",1
"MEPR00","Meinier-Pralys",1
"MGNE01","Montagne",1
"MLBA01","Moillebeau",1
"MLVT01","Saint-Genis-Porte de France",1
"MNEU01","Maisons-Neuves",1
"MSIL00","Marsillon",1
"MSQU00","Montesquiou",1
"MTFL01","Montfleury",1
"MUGE00","Muguets",1
"MUGE01","Muguets",1
"MYRN02","Meyrin-Village",1
"MYRN03","Meyrin-Village",1
"MYST00","Meyrin, Stierlin",1
"NADA00","Nant-d'Avril",1
"NAIS00","Nant-d'Aisy",1
"NANT00","Le Nant",1
"NANT01","Le Nant",1
"NATI14","Nations",1
"NATI21","Nations",1
"NATI23","Nations",1
"ONCI02","Onex-Cité",1
"ORRO00","Ornex-Les Roussets",1
"OULA00","Les Oulaines",1
"PAIL01","Balexert-Pailly",1
"PALE01","Palettes",1
"PALE02","Palettes",1
"PALE08","Palettes",1
"PASS01","La Passe",1
"PBAL04","Petit-Bel-Air",1
"PBOC01","Pont-Bochet",1
"PBRU00","Ferney-Planche-Brûlée",1
"PBRU01","Ferney-Planche-Brûlée",1
"PCEA00","Pont-Céard-Gare",1
"PCEA01","Pont-Céard-Gare",1
"PDRI00","Pont-de-Drize",1
"PEDI01","Pédiatrie",1
"PELO01","La Pelotière",1
"PETR00","Petray",1
"PFLE01","Pré-Fleuri",1
"PFON00","Pré-de-la-Fontaine",1
"PFON01","Pré-de-la-Fontaine",1
"PFUM00","Vernier-Parfumerie",1
"PGRA00","Petite-Grave",1
"PGRA01","Petite-Grave",1
"PLAI00","La Plaine-Gare",1
"PLAI01","La Plaine-Gare",1
"PLEY01","Palais Eynard",1
"PLIO01","Saint-Genis-Lion",1
"PLIO02","Saint-Genis-Lion",1
"PLLT01","Pallanterie",1
"PLTA00","Planta",1
"PONT03","Pontets",1
"PPOL01","Pré-Polly",1
"PRBE02","Bernex-P+R",1
"PRBE91","Bernex-P+R",1
"PRBE92","Bernex-P+R",1
"PREC00","Pregnin, école",1
"PREC01","Pregnin, école",1
"PRGM03","Meyrin-Gare",1
"PRMA91","Bernex-Pré-Marais",1
"PRMO01","Pré-Monnard",1
"PRSM04","Sous-Moulin",1
"PRVG01","Veigy-Douane",1
"PRVT01","Préventorium",1
"PSGE00","Presinge-Village",1
"PSGE01","Presinge-Village",1
"PSTA01","Parc Stagni",1
"PTLA02","Petit-Lancy-Place",1
"PTOU01","Les Petoux",1
"PUFR00","Puplinge-Frémis",1
"PYMA00","Pregny-Mairie",1
"QARV01","Queue-d'Arve",1
"QARV03","Queue-d'Arve",1
"QUID00","Quidort",1
"QUID99","Quidort",1
"RIPP01","Rippaz",1
"RORE00","Roselière",1
"ROUE00","Rouette",1
"RPOS01","Le Reposoir",1
"RSMA01","Collonge-Bellerive, Pré-d'Orsat",1
"RUTH01","Ruth",1
"SADN00","Sauverny-Douane",1
"SADN01","Sauverny-Douane",1
"SAUS01","Saussac",1
"SCEC00","Sainte-Cécile",1
"SCEC01","Sainte-Cécile",1
"SCHA00","Seuchat",1
"SCHA01","Seuchat",1
"SEFE00","Sézenove-Ferrand",1
"SERF00","Sézegnin-Le Renfort",1
"SERF01","Sézegnin-Le Renfort",1
"SEVI01","Sézenove-Village",1
"SEZG01","Sézegnin-Village",1
"SGAS01","Saint-Genis, Allondon Sud",1
"SGBO01","Sergy-Centre",1
"SGLO00","Sergy-Les Longets",1
"SGNY00","Ségny-Centre",1
"SHUM01","Saint-Genis-Schuman",1
"SIER01","Sierne",1
"SIGL00","SIG Lignon",1
"SISM01","L.-Sismondi",1
"SJCE01","Saint-Julien-Centre",1
"SJHU01","Saint-Julien-Hutins",1
"SLEG00","Genève, Saint-Léger",1
"SLOU00","Saut-du-Loup",1
"SLOU01","Saut-du-Loup",1
"SLSI01","La Salésienne",1
"SMAU00","Saint-Maurice",1
"SOBB01","Soral, Bois-de-By",1
"SOLE00","Le Soleil",1
"SOLE01","Le Soleil",1
"SONN03","Sonnex",1
"SRVI00","Soral, église",1
"SUMO01","Sur-le-Moulin",1
"SVEY01","Vessy-Stand de tir",1
"SVON01","Savonnière (Hôpital de Bellerive)",1
"SYCS00","Satigny-Centre sportif",1
"SYEG00","Satigny-Temple",1
"SYPO01","Satigny-Poste",1
"TACO00","Taconnerie",1
"THGA00","Thoiry-Gare",1
"THMA01","Thoiry-Mairie",1
"TLIG02","Lignon-Tours",1
"TOUV00","Touvière",1
"TRMB03","Trembley",1
"TRNT05","Tronchet",1
"TRNT08","Tronchet",1
"TRTI04","Tunnel Routier",1
"TRTI05","Tunnel Routier",1
"TUIL00","La Tuilière",1
"TULE00","Les Tuileries-Gare",1
"TULE01","Les Tuileries-Gare",1
"TURA00","Turaines",1
"TVER01","Taverney",1
"TXVI01","Troinex-Ville",1
"VACC00","Vandoeuvres-Centre communal",1
"VALY02","Bernex-Vailly",1
"VALY04","Bernex-Vailly",1
"VALY06","Bernex-Vailly",1
"VAND02","Vandoeuvres-Village",1
"VATH00","Thoiry-Centre commercial",1
"VDUR00","Duret",1
"VERB00","Verbant",1
"VERN01","Vernes",1
"VIEG00","Viry-Eglise",1
"VLAI01","Valais",1
"VLLA00","Villars",1
"VLLA01","Villars",1
"VRBE01","Varembé",1
"VREC01","Veyrier-Ecole",1
"VRVI01","Veyrier-Village",1
"VTRN03","Veyrier-Tournettes",1
"VTTE00","Villette",1
"VTTE01","Villette",1
"VUAT00","Vuattes",1
"VVRA02","Valavran",1
"VXAR00","Versoix-Argand",1
"VXBO00","Versoix-Bourg",1
"VXGA01","Versoix-Gare",1
"VXSI00","Versoix-La Scie",1
"ZIMG02","ZIMEYSA-Gare",1
"ZIMG04","ZIMEYSA-Gare",1
"ZIMO03","ZIMOGA",1
"ZIPL10","ZIPLO",1
"_HEDOS","Hermance-Dne - CH",1
"_LADNS","Landecy-Dne - CH",1
