"arret_code","arret_nom","n_collisions"
"THRE01","Théâtre",15
"VILL01","Villereuse",15
"VSNA01","Vésenaz-Village",15
"WEND00","Wendt",15
"APIA00","Appia",14
"BANS00","Bains",14
"BMON00","Bout-du-Monde",14
"BOHT02","Bouchet",14
"COUT02","Coutance",14
"ESRT04","Les Esserts",14
"GEVB00","Genève-Eaux-Vives-Gare/Bloch",14
"GRDL06","Chêne-Bougeries, Gradelle",14
"GUYE01","Guye",14
"INTR01","Intercontinental",14
"MILE00","Miléant",14
"MLRD03","Molard",14
"PBAL00","Petit-Bel-Air",14
"PLPA04","Plainpalais",14
"PXPH00","Palexpo-Halle 7",14
"RIEU00","Rieu",14
"RIGO01","Genève-Sécheron-Gare",14
"RIVE04","Rive",14
"SJSN04","Saint Julien, gare",14
"STGE06","Grand-Lancy, Stade de Genève",14
"TOCO00","Tour-de-Contrôle",14
"TRSI00","Terrassière",14
"WTC00","WTC",14
"BLAN01","Blanche",13
"BTNI00","Butini",13
"BTNI01","Butini",13
"CIMT00","Cimetière Saint-Georges",13
"CODN00","Colladon",13
"CVIN04","Gare Cornavin",13
"CVIN05","Gare Cornavin",13
"GIAC00","Giacometti",13
"HERM00","Hermance-Village",13
"ISAM02","Mercier",13
"JOCT07","Jonction",13
"JVIL00","De-Joinville",13
"LYON01","Lyon",13
"MGNE00","Montagne",13
"MILE01","Miléant",13
"MPAR00","Maison des Parlements",13
"MUSE02","Muséum",13
"NAVI00","Navigation",13
"PLEV03","Place des Eaux-Vives",13
"PLGE03","Genève-Plage",13
"PLPA02","Plainpalais",13
"PNEV00","Place de Neuve",13
"PXPH01","Palexpo-Halle 7",13
"THRE00","Théâtre",13
"UNIM02","Uni-Mail",13
"AUGS01","Augustins",12
"BAIR06","Bel-Air",12
"CAPI00","Capite",12
"CEPR00","Chêne-Bougeries, Rigaud",12
"CHRM03","Charmilles",12
"CIRQ02","Cirque",12
"CMAR01","Camille-Martin",12
"FAVR03","Place Favre",12
"FEMA00","Ferney-Mairie",12
"HTOU00","Hôpital de La Tour",12
"JARB00","Jardin Botanique",12
"MAPA01","Maison de la Paix",12
"PR4700","Grand-Saconnex, P+R",12
"STGE07","Grand-Lancy, Stade de Genève",12
"VECR00","Vernier-Gare/Croisette",12
"VSNA00","Vésenaz-Village",12
"AMDO00","Amandolier",11
"AMDO02","Amandolier",11
"AMDO03","Amandolier",11
"BHET05","Lancy-Bachet-Gare",11
"BLDO00","Blandonnet",11
"BOHT00","Bouchet",11
